title,star_rating,price,source,title_cleaned
The Missing Piece (The Missing Piece  #1),4.28,0.0,Goodreads_Real,the missing piece the missing piece  1
Monte Cook Presents The Year's Best D20 (Volume One),4.2,0.0,Goodreads_Real,monte cook presents the years best d20 volume one
Silent Night: The Remarkable Christmas Truce of 1914,3.6,0.0,Goodreads_Real,silent night the remarkable christmas truce of 1914
La Dernière Leçon,4.1,0.0,Goodreads_Real,la dernière leçon
Shout! The Beatles in Their Generation,4.03,0.0,Goodreads_Real,shout the beatles in their generation
Fantastic! Wow! and Unreal!: A Book About Interjections and Conjunctions,4.22,0.0,Goodreads_Real,fantastic wow and unreal a book about interjections and conjunctions
The Moon Lady,3.97,0.0,Goodreads_Real,the moon lady
Three Men in a Boat: To Say Nothing of the Dog,3.89,0.0,Goodreads_Real,three men in a boat to say nothing of the dog
Chester's Way,4.22,0.0,Goodreads_Real,chesters way
The Prize (deWarenne Dynasty  #4),3.98,0.0,Goodreads_Real,the prize dewarenne dynasty  4
Written on the Body,4.07,0.0,Goodreads_Real,written on the body
The Woman in White,4.0,0.0,Goodreads_Real,the woman in white
Le Petit Prince,4.31,0.0,Goodreads_Real,le petit prince
The Only Dance There Is,4.24,0.0,Goodreads_Real,the only dance there is
The Source,4.3,0.0,Goodreads_Real,the source
Cliffs Notes on Billy Budd & Typee,3.5,0.0,Goodreads_Real,cliffs notes on billy budd  typee
Lucie Babbidge's House,3.73,0.0,Goodreads_Real,lucie babbidges house
The Golden Notebook,3.76,0.0,Goodreads_Real,the golden notebook
2nd Chance (Women's Murder Club #2),4.04,0.0,Goodreads_Real,2nd chance womens murder club 2
Candide,3.77,0.0,Goodreads_Real,candide
The Sound and the Fury  As I Lay Dying  Sanctuary  Intruder in the Dust,4.05,0.0,Goodreads_Real,the sound and the fury  as i lay dying  sanctuary  intruder in the dust
The Sheltering Sky / Let It Come Down / The Spider's House,4.19,0.0,Goodreads_Real,the sheltering sky  let it come down  the spiders house
The J.R.R. Tolkien Companion and Guide  Volume 1: Chronology,4.51,0.0,Goodreads_Real,the jrr tolkien companion and guide  volume 1 chronology
Neither Here nor There: Travels in Europe,3.86,0.0,Goodreads_Real,neither here nor there travels in europe
Othello,3.89,0.0,Goodreads_Real,othello
Sisters,3.85,0.0,Goodreads_Real,sisters
Lost World of Agharti: The Mystery of Vril Power,3.84,0.0,Goodreads_Real,lost world of agharti the mystery of vril power
Sidetracked (Kurt Wallander  #5),4.07,0.0,Goodreads_Real,sidetracked kurt wallander  5
Bleach  Volume 16,4.34,0.0,Goodreads_Real,bleach  volume 16
Marabou Stork Nightmares,3.86,0.0,Goodreads_Real,marabou stork nightmares
Testaments Betrayed: An Essay in Nine Parts,4.04,0.0,Goodreads_Real,testaments betrayed an essay in nine parts
Boys that Bite (Blood Coven Vampire  #1),3.68,0.0,Goodreads_Real,boys that bite blood coven vampire  1
