title,star_rating,price,source
The Missing Piece (The Missing Piece  #1),4.28,0.0,Goodreads_Real
Monte Cook Presents The Year's Best D20 (Volume One),4.2,0.0,Goodreads_Real
Silent Night: The Remarkable Christmas Truce of 1914,3.6,0.0,Goodreads_Real
La Dernière Leçon,4.1,0.0,Goodreads_Real
Shout! The Beatles in Their Generation,4.03,0.0,Goodreads_Real
Fantastic! Wow! and Unreal!: A Book About Interjections and Conjunctions,4.22,0.0,Goodreads_Real
The Moon Lady,3.97,0.0,Goodreads_Real
Three Men in a Boat: To Say Nothing of the Dog,3.89,0.0,Goodreads_Real
Chester's Way,4.22,0.0,Goodreads_Real
The Prize (deWarenne Dynasty  #4),3.98,0.0,Goodreads_Real
Written on the Body,4.07,0.0,Goodreads_Real
The Woman in White,4,0.0,Goodreads_Real
Le Petit Prince,4.31,0.0,Goodreads_Real
The Only Dance There Is,4.24,0.0,Goodreads_Real
The Source,4.3,0.0,Goodreads_Real
Cliffs Notes on Billy Budd & Typee,3.5,0.0,Goodreads_Real
Lucie Babbidge's House,3.73,0.0,Goodreads_Real
The Golden Notebook,3.76,0.0,Goodreads_Real
2nd Chance (Women's Murder Club #2),4.04,0.0,Goodreads_Real
Candide,3.77,0.0,Goodreads_Real
The Sound and the Fury  As I Lay Dying  Sanctuary  Intruder in the Dust,4.05,0.0,Goodreads_Real
The Sheltering Sky / Let It Come Down / The Spider's House,4.19,0.0,Goodreads_Real
The J.R.R. Tolkien Companion and Guide  Volume 1: Chronology,4.51,0.0,Goodreads_Real
Neither Here nor There: Travels in Europe,3.86,0.0,Goodreads_Real
Othello,3.89,0.0,Goodreads_Real
Sisters,3.85,0.0,Goodreads_Real
Lost World of Agharti: The Mystery of Vril Power,3.84,0.0,Goodreads_Real
Sidetracked (Kurt Wallander  #5),4.07,0.0,Goodreads_Real
Bleach  Volume 16,4.34,0.0,Goodreads_Real
Marabou Stork Nightmares,3.86,0.0,Goodreads_Real
Testaments Betrayed: An Essay in Nine Parts,4.04,0.0,Goodreads_Real
Boys that Bite (Blood Coven Vampire  #1),3.68,0.0,Goodreads_Real
Arms and Armor: A Pictorial Archive from Nineteenth-Century Sources,3.96,0.0,Goodreads_Real
